"id_notes";"libelle_notes";"type_notes";"idtype_notes";"idclasse_notes";"idmat_notes";"idprof_notes";"ideleve_notes";"codeEtab_notes";"valeur_notes";"obser_notes";"session_notes";"typesess_notes";"date_notes";"niveau_notes";"cycle_notes";"sousmatiere_notes";"statut_notes";"coef_notes";"notecoef_notes";"nc_notes";"studentmat_notes";"code_notes";"matricule_notes"
"90";"interro3";"1";"35";"22";"14";"1750";"1501";"000279";"12";"Passable";"2020-2021";"1";"2021-02-01 06:21:52";"SIXIEME";"1ER CYCLE";"0";"0";"1";"12";"0";\N;\N;\N
"91";"interro3";"1";"35";"22";"14";"1750";"1480";"000279";"2";"Mauvais";"2020-2021";"1";"2021-02-01 06:21:54";"SIXIEME";"1ER CYCLE";"0";"0";"1";"2";"0";\N;\N;\N
"92";"interro3";"1";"35";"22";"14";"1750";"1483";"000279";"6";"Faible";"2020-2021";"1";"2021-02-01 06:21:54";"SIXIEME";"1ER CYCLE";"0";"0";"1";"6";"0";\N;\N;\N
"93";"interro3";"1";"35";"22";"14";"1750";"1486";"000279";"0";"Excellent";"2020-2021";"1";"2021-01-30 22:37:01";"SIXIEME";"1ER CYCLE";"0";"0";"1";"0";"0";\N;\N;\N
"94";"interro3";"1";"35";"22";"14";"1750";"1492";"000279";"14";"Bien";"2020-2021";"1";"2021-02-01 06:22:35";"SIXIEME";"1ER CYCLE";"0";"0";"1";"14";"0";\N;\N;\N
"95";"interro3";"1";"35";"22";"14";"1750";"1630";"000279";"2";"Mauvais";"2020-2021";"1";"2021-02-01 06:22:55";"SIXIEME";"1ER CYCLE";"0";"0";"1";"2";"0";\N;\N;\N
"96";"interro3";"1";"35";"22";"14";"1750";"1498";"000279";"8";"Faible";"2020-2021";"1";"2021-02-01 06:22:57";"SIXIEME";"1ER CYCLE";"0";"0";"1";"8";"0";\N;\N;\N
"97";"interro3";"1";"35";"22";"14";"1750";"1507";"000279";"12";"Passable";"2020-2021";"1";"2021-02-01 06:22:58";"SIXIEME";"1ER CYCLE";"0";"0";"1";"12";"0";\N;\N;\N
"98";"interro3";"1";"35";"22";"14";"1750";"1514";"000279";"14";"Bien";"2020-2021";"1";"2021-02-01 06:23:00";"SIXIEME";"1ER CYCLE";"0";"0";"1";"14";"0";\N;\N;\N
"99";"interro3";"1";"35";"22";"14";"1750";"1833";"000279";"10";"Passable";"2020-2021";"1";"2021-02-01 06:23:01";"SIXIEME";"1ER CYCLE";"0";"0";"1";"10";"0";\N;\N;\N
"100";"interro3";"1";"35";"22";"14";"1750";"1521";"000279";"8";"Faible";"2020-2021";"1";"2021-02-01 06:23:02";"SIXIEME";"1ER CYCLE";"0";"0";"1";"8";"0";\N;\N;\N
"101";"interro3";"1";"35";"22";"14";"1750";"1520";"000279";"6";"Faible";"2020-2021";"1";"2021-02-01 06:23:02";"SIXIEME";"1ER CYCLE";"0";"0";"1";"6";"0";\N;\N;\N
"102";"interro3";"1";"35";"22";"14";"1750";"1527";"000279";"4";"Mauvais";"2020-2021";"1";"2021-02-01 06:23:06";"SIXIEME";"1ER CYCLE";"0";"0";"1";"4";"0";\N;\N;\N
"103";"interro3";"1";"35";"22";"14";"1750";"1530";"000279";"14";"Bien";"2020-2021";"1";"2021-02-01 06:23:07";"SIXIEME";"1ER CYCLE";"0";"0";"1";"14";"0";\N;\N;\N
